1000 10000
142 952 6
651 584 62
444 14 27
792 449 1
226 768 57
992 560 78
505 106 34
522 509 68
291 160 25
685 987 86
135 350 12
58 113 93
745 150 65
653 252 31
24 30 59
360 996 92
503 639 34
456 938 71
180 248 41
311 785 65
612 49 59
552 922 47
333 864 30
269 645 55
51 567 3
228 927 99
419 748 62
942 831 6
123 95 23
167 704 45
216 720 29
241 90 67
22 263 34
769 505 93
740 337 85
848 916 79
462 370 39
251 336 21
505 998 99
308 26 47
930 334 23
279 360 22
455 25 20
661 305 61
396 937 17
524 384 16
688 10 77
237 285 28
101 302 92
765 172 33
692 195 34
285 860 2
350 307 61
210 18 17
836 284 94
533 763 85
984 134 95
668 61 50
2 751 56
823 511 40
100 674 69
37 468 20
910 564 46
668 189 6
683 550 43
468 676 77
754 813 44
653 553 46
238 517 3
700 800 2
990 42 53
154 121 23
118 717 13
613 727 95
972 414 85
117 810 81
84 692 18
400 445 82
276 662 32
471 952 49
632 253 72
54 599 31
32 336 24
832 241 40
701 575 99
73 899 92
552 512 62
834 210 71
155 758 20
481 668 21
661 44 39
150 408 35
882 222 20
927 490 76
25 969 47
197 184 57
197 510 13
548 447 82
477 755 33
623 630 91
932 905 60
602 377 23
953 551 24
14 296 84
463 774 8
720 278 41
214 363 2
610 899 6
112 112 16
545 90 64
14 300 88
246 36 11
473 262 84
125 339 70
193 982 75
673 967 63
505 316 18
173 453 12
241 398 27
588 258 70
634 670 54
699 636 18
390 706 7
106 258 47
78 899 25
870 656 54
17 551 30
706 348 42
708 607 88
577 11 48
132 777 78
710 189 64
382 998 21
524 956 58
848 141 76
534 593 18
573 199 52
632 903 64
869 489 1
556 78 93
626 198 87
295 209 68
892 770 5
745 809 66
230 256 42
777 584 87
167 516 15
918 310 58
138 761 66
310 336 45
358 21 22
979 179 35
567 800 44
121 390 44
179 49 52
338 102 96
62 473 26
667 391 20
878 390 90
148 721 47
288 305 12
51 24 75
713 960 76
561 500 54
198 29 32
500 191 73
436 125 69
132 282 77
288 225 26
150 256 100
697 337 76
371 153 92
233 876 79
914 457 97
368 921 47
850 542 2
745 466 88
41 454 84
410 252 71
520 542 15
672 376 19
749 971 95
897 460 5
655 781 84
25 147 36
317 816 34
718 689 6
264 210 2
907 872 69
116 815 11
600 566 54
403 576 94
313 836 1
306 607 3
443 152 24
594 836 81
986 460 39
329 740 42
174 117 67
990 405 80
216 317 72
72 227 21
154 289 25
472 630 93
5 612 68
202 490 55
200 602 75
744 277 71
624 358 4
719 604 35
914 36 73
896 935 85
715 856 57
824 712 66
81 565 74
32 800 6
383 407 9
550 803 94
533 706 97
834 391 85
757 96 100
251 120 67
408 695 20
423 183 2
391 896 63
606 182 100
777 665 80
224 238 33
588 988 20
42 489 99
52 430 98
758 232 17
966 937 71
431 471 64
1000 658 6
41 316 14
317 404 2
959 963 9
846 891 51
610 517 29
476 394 32
841 460 6
904 950 84
460 529 55
411 664 24
568 518 94
902 183 23
294 44 22
483 811 39
852 775 27
82 715 85
930 381 65
685 73 96
638 426 57
524 857 15
625 583 90
361 949 78
751 406 37
245 115 9
635 208 63
378 845 86
673 864 50
63 680 22
618 269 75
144 782 35
28 643 63
691 293 17
727 946 9
11 949 24
217 534 1
297 870 4
866 70 96
910 272 54
977 141 2
370 841 64
629 596 47
64 802 68
245 741 51
584 394 14
857 785 50
700 289 73
559 388 36
355 262 34
503 988 30
65 35 6
774 158 51
173 132 66
655 48 80
601 459 26
541 168 20
534 350 40
475 555 89
198 727 84
788 751 97
663 179 3
987 322 38
591 853 77
661 401 91
219 40 52
946 330 32
230 944 80
775 322 98
776 153 62
159 439 24
532 222 80
389 839 96
537 788 77
820 408 48
818 197 65
191 573 73
351 45 9
137 295 79
873 608 57
934 762 59
809 962 72
432 716 100
506 445 4
996 202 18
347 599 71
930 83 26
950 658 51
776 122 16
636 682 99
928 784 68
654 866 92
189 40 78
845 544 69
282 665 30
451 76 39
595 399 84
39 980 9
882 739 37
46 387 17
667 518 72
277 54 21
905 666 34
183 478 24
879 906 22
397 641 82
679 4 10
513 80 96
902 134 64
194 218 37
550 846 62
612 928 34
779 89 98
205 663 27
903 605 63
848 769 39
334 215 99
38 876 57
402 494 14
248 10 65
720 925 65
542 959 83
642 933 84
124 727 89
371 921 63
599 621 15
917 568 35
796 684 2
166 527 14
681 194 47
951 444 78
66 208 11
460 12 91
22 419 41
55 22 80
240 966 28
245 301 17
174 246 77
927 890 20
525 149 3
715 848 60
339 992 27
512 711 53
523 249 20
125 257 59
997 677 63
98 695 3
700 470 88
822 853 92
702 42 87
952 554 31
639 211 80
709 234 67
478 30 20
800 276 93
678 772 86
437 515 22
382 955 71
310 305 40
234 909 78
871 439 49
832 296 61
569 719 41
900 405 42
418 459 94
237 98 55
491 547 83
541 920 74
521 378 54
325 685 89
677 873 100
926 403 67
660 371 33
9 751 5
439 696 37
216 34 22
772 154 45
179 620 40
667 491 76
668 12 29
26 4 38
99 945 23
762 535 64
195 725 8
239 703 30
435 741 7
820 851 16
694 466 29
885 479 25
187 930 32
875 146 67
373 680 12
44 561 93
484 368 49
384 603 12
155 676 90
341 746 51
912 169 21
164 744 27
464 570 4
273 328 99
376 805 82
879 225 69
324 537 100
2 591 51
964 38 37
747 306 71
530 749 22
520 204 91
741 572 54
793 31 2
361 627 43
443 93 73
917 665 60
249 710 35
292 784 61
646 221 54
868 405 38
117 163 71
778 273 96
514 235 78
4 627 58
30 901 3
589 995 14
950 12 51
629 720 37
348 367 80
439 483 31
29 299 33
505 482 68
953 887 36
79 846 100
767 271 94
16 685 84
182 450 14
863 249 46
309 396 54
892 703 49
620 813 5
840 89 31
168 527 3
909 380 33
123 588 1
387 243 7
410 6 2
684 282 25
829 117 62
538 852 51
195 445 43
771 638 74
107 253 79
772 889 33
891 673 47
290 124 13
957 304 100
955 551 65
390 447 93
491 737 23
109 285 66
359 291 44
282 5 8
542 115 60
812 551 62
763 747 4
569 863 5
237 175 54
539 588 57
615 770 85
381 978 10
552 361 38
706 257 28
988 518 61
982 315 84
137 126 73
843 434 61
355 860 99
957 168 59
88 644 16
686 261 99
772 625 58
684 29 37
135 520 80
974 391 60
50 314 19
50 679 74
806 502 93
74 933 14
613 45 77
162 60 88
294 732 33
83 395 20
525 333 43
132 752 47
713 918 57
388 704 57
893 968 98
945 528 5
31 585 58
828 679 49
188 331 29
250 225 23
402 324 65
189 678 29
349 36 91
529 456 69
186 889 2
367 609 65
103 942 65
886 699 49
889 599 28
469 950 100
604 103 58
146 630 36
415 899 14
366 619 2
454 245 65
254 679 25
6 377 90
27 754 97
636 243 94
299 201 40
262 551 65
687 203 100
8 303 71
379 731 56
9 737 55
865 921 45
771 975 24
461 921 31
623 301 23
234 227 45
190 862 22
716 257 97
201 439 24
717 812 90
994 570 99
841 839 64
281 285 84
113 385 39
8 417 51
459 255 44
311 227 20
360 689 87
641 214 31
149 137 11
373 87 41
698 439 58
590 144 17
838 559 6
651 829 36
2 345 68
632 306 97
601 296 21
155 43 45
103 516 56
720 667 76
55 64 70
653 886 51
890 708 10
542 998 64
151 164 17
3 634 77
406 40 99
229 362 44
44 266 36
405 788 13
242 235 36
69 354 64
717 886 40
644 626 80
496 802 34
910 285 34
245 29 45
810 376 58
8 516 79
491 190 57
725 972 68
464 700 22
156 660 82
68 476 53
836 977 88
430 939 91
413 976 49
977 234 28
869 767 99
429 521 3
980 837 10
964 655 34
960 406 61
407 747 39
649 336 40
815 735 28
814 680 37
628 431 16
62 621 98
681 526 40
568 140 76
774 986 58
644 683 84
644 851 65
191 486 64
269 528 16
163 365 70
418 10 95
277 371 58
914 126 69
597 704 27
762 495 12
674 24 10
679 586 19
387 787 27
494 705 19
511 355 38
101 553 51
678 153 95
511 492 68
133 968 46
76 599 33
502 208 16
118 964 25
893 180 96
957 866 12
789 845 55
428 648 62
481 357 93
490 542 35
315 244 62
618 820 88
553 535 89
995 112 57
107 964 56
97 525 80
62 295 10
610 71 57
836 112 67
370 288 44
353 706 84
311 93 80
544 294 89
294 825 76
260 182 5
244 57 93
343 858 13
478 63 94
430 815 30
889 520 12
211 146 58
842 6 61
194 90 67
552 358 1
85 900 60
557 827 61
888 508 81
833 857 2
262 507 43
991 971 76
954 619 54
813 277 64
350 948 10
648 475 33
799 107 43
830 248 36
815 582 73
35 840 88
130 201 13
429 334 31
625 316 13
911 582 94
275 458 95
762 821 89
495 788 83
463 180 61
819 636 93
150 730 40
904 146 97
858 246 21
395 11 98
19 152 34
430 533 58
578 545 88
85 788 28
385 647 98
145 184 96
353 938 85
976 813 19
721 802 69
947 593 56
342 166 52
263 354 93
358 254 30
349 5 32
147 186 55
106 744 10
270 241 92
416 345 20
297 259 69
427 628 8
180 167 66
484 17 28
881 894 58
73 747 96
721 694 23
403 227 63
109 256 47
615 507 42
620 915 57
254 692 61
244 719 82
437 368 48
481 834 81
749 280 83
328 270 91
604 184 2
263 544 19
98 102 46
113 531 47
725 750 82
615 547 78
798 145 51
626 931 32
978 217 44
811 320 29
729 455 79
723 419 66
506 102 26
3 171 86
326 989 19
493 248 98
752 232 37
625 649 58
828 719 32
353 383 78
780 230 21
181 24 77
916 883 83
607 517 10
680 452 56
880 229 70
809 230 94
10 712 19
587 775 82
500 108 80
354 965 84
698 947 83
552 700 93
178 898 30
360 925 60
983 68 22
167 209 38
506 174 87
694 666 10
916 728 97
129 98 81
933 18 57
139 570 70
448 637 42
800 836 63
789 885 48
729 322 55
998 270 57
139 901 66
450 396 35
304 230 13
237 817 35
965 329 75
366 659 81
450 797 29
31 428 30
582 893 7
921 984 76
752 338 84
998 922 14
647 886 38
68 591 61
659 323 19
529 505 44
961 994 37
122 558 89
115 692 27
266 247 90
102 845 58
617 529 25
354 964 90
586 791 92
750 188 38
948 502 73
761 854 63
466 71 99
786 604 89
620 465 40
273 616 85
883 789 57
387 291 1
184 720 93
98 286 23
838 124 74
658 165 63
268 679 30
190 239 56
524 451 19
121 951 63
967 796 4
733 518 51
814 813 10
184 591 18
642 363 19
313 161 39
197 176 19
632 952 38
551 834 94
243 141 36
106 298 95
562 314 80
174 694 24
892 310 11
477 582 27
639 839 52
80 546 43
12 115 77
849 187 45
729 61 76
951 526 88
142 143 59
526 36 10
296 290 77
516 469 60
624 463 18
300 536 41
893 162 19
111 700 52
782 482 83
158 51 21
561 819 95
241 513 48
167 811 16
300 617 86
693 312 96
212 41 82
501 753 32
542 657 86
363 232 32
224 576 39
465 846 37
342 686 17
347 271 39
167 515 76
259 210 25
198 567 84
830 243 96
553 304 26
309 624 64
741 680 28
965 95 60
8 380 90
752 175 98
533 709 59
897 322 33
204 491 32
300 266 82
464 517 14
468 976 16
119 802 42
643 798 32
309 460 84
470 847 41
737 679 37
238 722 97
598 798 88
512 707 38
771 167 14
637 369 50
172 178 90
419 489 92
599 398 86
891 313 20
816 876 68
489 606 7
590 841 45
871 703 20
355 441 5
889 519 4
128 551 86
66 887 43
446 781 61
758 362 45
550 874 40
519 752 59
746 271 54
992 43 39
706 865 37
309 197 71
168 763 3
185 264 22
52 65 30
725 996 21
817 374 84
880 228 4
678 678 100
594 289 15
14 53 95
672 894 18
544 358 7
139 283 81
695 972 43
369 378 20
435 613 97
242 813 3
671 330 59
788 974 87
129 753 60
143 829 84
558 203 72
82 93 14
491 438 51
469 711 72
876 188 86
140 518 35
33 858 67
858 378 24
540 186 70
380 573 30
780 441 3
530 833 37
557 274 57
842 144 10
598 569 11
909 810 72
58 257 69
823 619 88
55 590 31
187 554 58
458 612 82
436 67 2
753 462 93
421 533 12
951 968 26
243 557 85
420 70 2
398 617 8
979 746 36
44 798 17
314 329 47
725 859 69
413 783 27
975 620 64
171 511 48
396 368 2
103 900 16
448 219 34
217 411 68
187 629 50
754 686 87
325 104 45
884 298 94
917 910 68
935 746 85
704 809 82
517 930 12
377 281 40
872 341 15
99 138 29
326 727 27
896 787 46
236 940 67
142 344 32
623 559 64
901 393 97
85 396 81
610 912 59
82 847 96
543 535 53
347 122 10
288 200 32
831 419 3
800 299 63
529 411 84
602 988 55
856 384 75
800 362 52
967 76 31
176 121 78
789 380 69
921 473 58
998 466 16
163 757 54
8 284 38
116 236 84
215 875 1
340 379 75
265 228 31
546 217 8
866 322 2
276 442 31
482 474 16
907 493 100
490 501 56
53 382 74
147 730 52
993 133 55
167 953 21
966 101 78
109 561 38
93 70 28
153 387 29
322 371 4
442 869 56
551 956 86
747 553 53
761 853 28
306 139 59
98 733 12
612 486 75
893 112 3
511 847 100
244 486 98
879 760 71
389 954 60
145 247 95
313 315 73
699 661 82
780 278 93
602 543 27
600 355 66
650 432 74
618 724 66
282 141 27
635 481 38
62 991 99
968 606 2
315 821 49
883 27 42
806 640 26
648 779 46
261 525 94
232 261 51
236 542 69
177 662 68
370 761 70
628 334 58
441 671 16
486 871 17
746 855 96
936 521 69
878 825 60
399 848 49
606 659 55
804 404 27
4 263 95
341 352 34
984 499 97
923 419 87
532 799 9
826 163 73
984 723 31
419 733 32
831 367 79
925 334 2
416 809 22
264 253 49
790 642 39
689 902 82
584 681 87
985 881 10
378 151 73
686 601 35
994 353 22
840 382 12
204 281 42
421 267 98
838 941 37
446 472 67
453 999 15
576 697 59
630 147 14
499 230 6
373 788 66
726 985 84
298 896 64
785 803 30
983 207 35
282 71 46
51 656 36
593 357 46
786 755 24
276 152 85
171 616 37
956 392 96
17 359 93
229 465 11
875 94 62
442 618 85
820 687 55
247 928 56
947 390 58
949 433 79
723 951 8
345 457 46
68 126 88
869 703 93
664 70 28
318 73 61
840 259 90
421 412 34
389 463 64
62 221 59
719 329 8
204 668 81
937 377 37
906 179 12
579 405 89
835 419 29
655 56 69
12 535 99
804 797 76
509 631 6
606 992 8
395 438 66
851 534 8
625 604 76
48 872 96
98 237 60
650 76 76
585 313 2
454 52 93
441 338 90
394 797 94
189 489 36
681 272 44
962 769 85
939 157 18
967 498 51
226 371 38
436 735 61
830 25 87
736 657 9
90 297 73
746 866 87
237 247 8
465 338 45
946 519 85
507 86 37
672 36 91
138 292 9
627 505 8
331 168 64
233 772 45
85 282 19
62 974 6
752 141 20
784 861 71
75 642 94
532 602 32
564 843 91
967 603 94
877 144 53
606 970 63
73 22 90
382 980 86
659 555 3
396 43 57
567 659 53
599 828 42
318 806 7
729 418 18
807 911 69
570 89 25
809 479 49
701 731 24
426 520 13
408 519 41
699 514 54
240 445 91
794 594 63
571 100 67
110 694 58
277 788 100
270 322 79
796 660 39
507 582 5
531 933 96
145 685 84
195 141 24
722 776 37
845 781 49
659 633 71
49 987 9
965 385 24
578 905 79
174 634 58
672 788 68
5 437 31
940 262 95
425 317 22
272 452 54
339 666 47
549 905 79
463 488 23
282 65 32
287 685 6
292 463 59
904 71 39
457 688 71
323 3 91
195 389 29
333 359 26
731 981 43
935 665 97
443 368 20
631 189 78
251 541 18
654 803 51
854 565 24
840 959 28
74 990 94
519 47 88
59 873 23
183 800 72
888 612 86
35 538 68
516 321 20
775 600 100
950 301 31
645 641 44
690 626 3
104 633 28
182 878 84
676 816 57
294 297 1
204 122 58
192 267 4
353 781 68
240 955 92
442 942 38
142 369 26
519 541 14
883 46 48
157 37 30
144 222 85
493 477 12
735 941 50
213 657 35
824 31 15
477 217 47
637 334 68
635 385 89
878 256 8
344 727 73
317 342 66
936 233 62
707 22 83
502 180 73
258 450 29
446 38 18
745 368 39
225 437 26
252 600 91
405 494 43
89 952 26
514 831 91
35 827 96
830 236 46
523 773 69
425 806 87
154 441 33
610 791 47
152 412 65
168 704 42
448 111 60
298 284 80
802 441 83
968 402 56
760 507 33
48 382 85
737 210 20
626 864 76
257 472 73
99 84 72
599 251 64
150 89 42
461 884 26
718 586 81
732 834 65
782 280 27
646 989 20
218 373 50
514 67 20
467 867 97
699 414 72
358 555 3
681 755 10
37 446 71
918 189 8
141 952 23
498 969 56
686 32 19
104 616 96
438 505 68
15 895 22
991 228 26
962 586 41
324 988 78
929 717 70
544 480 86
125 993 49
167 20 31
215 158 98
283 784 26
786 443 20
497 480 11
229 591 57
817 171 17
330 731 79
793 516 97
954 126 60
291 412 83
822 400 3
122 494 30
479 15 70
481 969 12
175 765 58
996 474 13
486 368 31
125 471 15
782 849 49
400 693 92
879 165 95
16 730 16
236 711 91
960 740 39
419 900 88
866 153 56
801 934 39
267 572 61
748 665 7
637 215 84
672 633 9
908 227 11
251 722 9
866 482 53
369 943 51
395 229 11
224 588 14
297 246 17
300 115 37
729 912 14
364 747 97
213 82 27
92 148 60
728 823 100
633 524 17
220 249 25
520 885 62
119 673 7
191 637 16
730 409 45
467 37 99
177 114 59
888 443 11
366 174 66
620 424 100
742 152 62
357 274 27
978 751 19
805 82 98
160 926 33
485 831 88
895 415 7
8 658 59
766 123 96
835 984 17
21 996 41
76 436 47
59 220 76
344 858 65
239 586 29
211 964 80
558 196 36
652 777 70
427 328 12
366 697 66
299 250 26
968 442 57
101 977 55
342 471 62
528 274 90
558 180 63
732 299 79
348 218 69
503 337 59
983 649 36
386 171 21
401 217 97
818 397 42
587 864 67
976 62 66
350 32 62
801 705 98
131 830 43
734 584 76
508 996 78
541 900 21
657 791 18
702 831 78
284 154 53
55 107 79
45 481 5
825 232 75
671 278 20
81 489 66
345 64 8
887 655 94
950 279 68
402 661 14
941 850 50
538 963 58
481 753 35
21 699 66
42 539 98
851 183 7
267 857 37
178 553 96
154 401 98
259 457 37
652 92 32
986 362 16
798 752 3
810 125 87
276 247 47
991 565 92
678 510 66
106 762 41
14 647 78
801 447 24
243 991 4
788 795 52
833 560 79
416 315 18
319 305 29
704 686 73
56 985 69
328 216 10
898 456 8
8 872 25
986 358 12
71 482 66
542 362 60
181 709 18
313 428 29
631 70 39
403 331 19
967 795 15
599 648 50
234 649 5
395 241 26
633 840 66
747 207 47
280 705 54
750 784 65
129 678 69
191 422 62
762 394 87
582 182 87
891 453 59
132 538 2
577 650 76
51 664 7
462 160 15
100 352 6
943 196 34
390 642 99
60 757 13
438 85 3
100 31 3
537 265 64
438 481 94
316 630 9
337 367 20
996 59 83
212 257 23
679 729 89
391 578 13
97 405 84
496 713 88
952 825 20
239 515 28
929 555 14
691 591 28
527 332 56
730 81 94
899 42 80
350 528 96
703 23 85
914 616 51
834 464 100
273 233 83
472 671 64
903 934 80
303 890 87
910 430 55
923 529 79
666 710 63
250 876 78
309 950 45
960 274 38
197 591 49
21 107 37
361 755 19
546 560 70
767 206 47
296 21 11
817 877 60
953 118 25
99 110 56
348 71 27
391 440 83
397 82 91
457 574 64
979 653 23
851 984 12
601 393 69
906 914 38
237 373 44
887 947 23
420 281 97
247 351 24
660 435 34
436 70 31
641 741 11
346 187 6
761 284 72
778 413 92
143 19 76
155 978 42
355 551 93
100 535 59
696 17 50
651 785 84
805 62 92
193 503 53
518 378 77
627 653 82
664 329 76
874 843 51
976 60 82
324 324 41
916 946 6
530 479 50
312 421 75
688 946 53
771 617 85
528 290 4
575 624 32
839 324 91
757 856 53
925 207 4
182 659 74
794 791 74
819 943 86
28 540 92
478 980 51
402 65 25
111 160 94
484 614 46
904 54 74
904 654 41
465 283 74
383 321 42
253 544 51
262 499 80
115 978 87
349 227 52
606 549 4
483 365 31
325 597 37
337 425 47
356 251 8
330 106 70
257 111 51
98 408 47
304 768 84
732 822 30
63 829 92
369 549 89
827 487 91
560 967 22
681 341 34
113 348 94
365 855 64
353 56 5
999 67 50
465 147 55
361 315 31
174 992 40
882 133 45
211 71 5
279 330 90
251 395 97
804 152 16
807 812 77
7 552 21
62 926 73
942 936 19
479 969 36
420 769 33
369 231 28
272 906 92
620 433 4
933 692 48
918 882 48
363 412 56
511 730 56
981 124 97
389 92 33
313 834 8
96 32 23
427 448 92
639 266 69
234 906 17
865 874 76
577 100 43
957 570 21
960 889 88
163 163 2
129 748 65
160 88 89
763 515 21
606 825 21
642 847 30
226 89 46
596 774 14
788 281 90
566 505 72
851 187 67
277 782 84
534 999 26
30 270 43
84 673 47
727 104 36
605 369 74
851 309 12
118 770 43
226 162 19
953 716 35
182 418 60
690 411 65
511 249 62
820 13 26
752 202 45
106 343 70
408 169 97
134 593 8
890 89 59
406 989 58
158 24 94
306 396 90
389 742 96
159 9 74
512 922 18
623 612 50
602 301 44
862 928 29
66 693 30
743 766 63
2 635 48
429 704 66
578 829 79
930 590 72
582 516 9
659 581 22
683 503 97
10 507 44
182 335 45
499 964 27
302 746 67
72 640 2
285 880 84
669 666 30
115 152 48
493 763 50
411 748 64
995 389 59
659 673 70
801 8 9
448 824 56
732 433 88
352 783 66
310 582 40
751 993 3
739 179 33
355 434 32
140 8 44
999 156 74
192 265 44
436 293 27
854 308 86
691 638 61
828 366 6
604 461 62
547 15 31
914 204 81
896 609 91
597 720 3
717 885 68
534 235 95
94 583 4
815 706 95
284 541 11
129 744 49
893 515 32
883 393 95
762 322 51
242 784 59
104 524 41
748 801 96
48 393 99
91 232 78
503 326 15
1000 784 30
591 529 70
589 965 32
164 718 37
746 131 23
343 749 23
674 876 33
550 290 32
467 118 64
770 411 77
9 746 91
848 830 90
811 990 30
337 312 55
636 564 33
826 415 24
227 833 50
908 9 1
284 471 6
933 282 10
293 659 33
773 458 48
322 936 99
626 613 6
41 50 31
813 729 81
854 4 76
235 404 21
129 635 38
61 555 97
659 544 74
751 324 7
93 106 15
797 741 1
209 657 94
1 818 21
447 860 55
647 875 75
769 925 34
202 124 30
615 552 7
675 348 26
27 655 82
521 750 56
190 264 80
716 523 32
354 829 47
16 653 27
30 691 66
1 453 95
270 276 23
585 487 50
656 686 7
187 129 3
471 457 46
436 615 26
812 205 52
293 490 28
856 410 61
418 452 1
563 254 26
718 998 25
296 226 86
509 83 68
855 829 86
112 258 22
522 231 69
516 599 91
680 471 88
467 195 52
125 767 55
178 191 72
640 674 15
985 925 52
355 597 14
415 15 43
967 363 38
99 150 83
910 927 2
732 213 66
999 374 47
410 187 38
101 578 24
314 84 26
432 401 15
710 128 26
418 4 2
123 411 59
187 240 54
153 876 44
622 696 92
455 558 87
506 737 87
972 994 2
306 741 59
575 491 70
278 800 69
720 120 83
599 454 100
44 485 50
438 43 86
989 443 10
350 633 41
47 147 63
230 798 51
349 647 6
368 36 31
794 50 19
365 135 33
136 466 26
678 90 73
773 749 15
356 963 89
553 785 82
385 378 90
921 731 75
77 349 51
759 961 6
306 39 78
183 424 77
624 933 66
275 695 85
226 328 15
376 377 45
182 702 85
472 583 83
601 552 41
982 204 17
585 101 26
501 831 73
50 254 69
81 364 33
410 656 9
859 660 69
285 221 5
842 881 75
145 307 77
717 554 46
906 668 45
226 741 88
143 428 30
10 280 50
500 550 42
706 919 8
94 72 52
844 753 82
730 370 97
972 82 69
583 915 77
748 899 64
207 28 56
720 542 83
881 434 14
842 450 3
42 536 7
983 797 16
584 459 12
400 805 22
485 125 8
298 878 9
2 347 87
175 431 13
482 863 19
195 661 46
122 926 54
263 886 81
304 994 57
361 815 77
841 745 56
738 919 90
345 493 36
975 745 86
759 322 87
905 326 7
982 236 87
797 377 19
438 782 100
468 129 24
976 19 26
732 27 76
173 641 55
94 213 18
728 201 79
230 188 47
416 289 95
38 415 87
911 250 49
842 474 69
702 626 31
405 164 70
102 923 8
555 401 54
752 850 46
854 960 89
270 976 62
417 494 92
32 165 83
848 625 65
248 416 10
638 70 39
78 728 47
60 12 92
757 439 48
609 719 85
436 898 69
701 181 53
502 146 86
845 780 82
378 173 61
74 419 63
499 790 87
2 221 36
841 913 15
981 713 58
247 256 59
281 484 8
219 112 5
510 629 87
210 468 51
451 832 6
761 282 40
672 932 50
524 177 17
785 196 20
595 457 65
490 154 54
488 595 77
317 520 6
362 989 89
797 685 79
725 719 45
471 70 98
80 104 48
404 106 39
518 738 61
160 317 89
165 770 36
350 582 73
130 209 18
649 17 35
371 94 63
844 429 19
139 913 25
580 319 49
42 809 52
289 134 34
603 423 8
905 85 34
284 985 72
676 132 60
545 656 27
144 758 100
985 506 98
615 916 48
895 817 15
789 921 43
987 786 73
499 589 65
510 647 10
158 163 62
874 709 36
528 570 74
112 367 36
893 703 90
303 185 54
880 9 50
236 86 51
428 428 66
940 251 85
499 335 21
244 425 94
243 742 80
409 623 33
428 665 12
273 85 88
499 747 56
768 642 25
970 51 4
404 399 38
133 414 28
66 986 24
719 427 58
989 508 19
187 910 88
598 148 69
651 622 51
287 842 14
365 695 63
919 380 99
528 769 4
946 132 72
740 79 95
22 943 20
455 552 38
479 288 33
705 626 56
507 587 60
209 458 47
518 483 34
445 709 87
216 957 42
334 946 50
450 258 60
426 613 91
717 377 37
776 397 62
971 539 53
327 855 91
11 797 100
440 202 50
489 417 61
535 361 64
556 733 58
287 556 1
687 490 9
379 175 4
360 54 13
197 321 47
308 947 27
546 710 48
617 854 5
763 966 60
635 978 75
862 388 40
32 770 33
996 440 91
203 250 78
705 261 62
916 622 28
503 259 84
206 625 18
11 814 90
984 200 72
502 453 16
590 636 63
997 284 34
53 668 2
770 435 56
610 737 98
329 605 91
995 816 3
347 626 30
4 171 56
142 349 9
980 304 100
563 790 77
709 833 7
519 977 54
960 538 93
899 821 87
334 366 64
132 86 2
304 290 53
387 452 22
952 184 98
558 282 71
662 270 7
566 736 85
892 181 84
927 497 13
754 906 53
482 685 47
907 976 83
926 400 46
238 596 36
187 361 4
270 560 78
990 413 83
106 344 56
592 281 48
798 608 36
303 347 28
944 316 64
875 594 62
20 895 1
754 497 67
328 13 47
965 401 6
433 1000 27
641 204 40
156 983 39
478 626 93
973 794 70
923 479 29
740 303 69
280 35 8
739 680 87
627 881 22
369 291 70
580 713 76
387 313 64
937 222 13
245 519 62
27 8 22
997 232 9
454 123 91
433 457 28
805 247 68
868 724 87
204 886 40
637 254 95
428 977 25
143 920 79
50 275 70
850 146 77
672 916 100
145 51 43
403 463 10
826 242 95
140 428 76
465 689 79
543 512 67
173 932 10
47 8 20
297 694 93
951 313 33
613 437 87
394 219 39
835 465 21
869 841 67
146 681 50
224 411 84
294 342 28
232 860 99
613 309 21
88 501 31
548 161 40
931 872 61
329 167 77
4 845 61
222 361 100
670 361 75
868 476 47
156 25 75
485 602 72
603 508 57
169 616 72
690 326 98
754 336 58
889 670 73
464 537 4
39 145 71
646 362 9
27 556 40
235 771 38
556 7 19
450 300 9
249 476 50
683 75 97
609 276 4
383 235 76
84 586 5
215 520 75
144 870 61
990 500 89
149 300 41
619 356 57
546 434 61
704 923 55
621 301 60
381 270 48
736 197 71
942 935 31
190 492 26
24 859 8
498 235 82
200 884 93
528 469 57
661 343 43
578 634 9
921 983 94
244 5 62
468 280 39
312 823 15
585 21 95
123 226 93
334 42 15
422 663 12
504 307 98
383 624 52
173 531 64
645 14 85
225 454 99
535 236 43
802 655 9
526 594 95
315 250 60
718 196 76
485 740 29
353 616 31
537 750 32
324 67 60
583 615 99
648 573 18
866 374 91
563 936 95
330 483 38
564 109 70
129 463 55
90 816 43
550 640 20
750 343 54
789 454 27
268 126 12
293 785 58
374 502 92
656 592 51
633 945 32
695 131 72
294 712 18
835 946 4
386 645 7
309 420 17
382 169 7
199 585 36
24 983 83
665 400 12
785 855 6
878 58 51
973 205 9
668 77 3
158 551 63
423 874 18
840 827 97
158 816 59
158 14 23
372 446 23
820 582 20
544 197 69
308 689 22
110 340 2
89 435 81
60 121 97
623 492 19
198 215 5
761 688 27
698 898 26
641 453 58
700 309 19
587 601 59
308 581 3
122 729 93
51 683 75
290 963 87
82 286 82
236 549 55
915 862 98
118 947 64
494 138 80
336 462 82
517 387 75
712 983 42
160 679 6
143 512 75
202 991 57
433 235 7
97 186 60
449 25 72
66 80 9
531 852 39
355 79 61
144 245 28
288 441 14
326 216 44
415 635 72
613 355 94
987 960 3
755 579 10
909 469 71
296 950 65
558 634 81
787 82 11
630 775 71
787 452 88
992 213 87
895 466 28
948 280 57
391 658 83
748 980 96
81 552 53
815 181 41
